OBX,Siste
22.07.19 09:04:08,800.56
22.07.19 09:04:08,800.57
22.07.19 09:04:07,800.59
22.07.19 09:04:06,800.59
22.07.19 09:04:04,800.59
22.07.19 09:04:03,800.59
22.07.19 09:04:02,800.56
22.07.19 09:04:02,800.55
22.07.19 09:04:02,800.56
22.07.19 09:04:02,800.53
22.07.19 09:04:02,800.54
22.07.19 09:04:02,800.57
22.07.19 09:04:02,800.61
22.07.19 09:04:01,800.57
22.07.19 09:04:00,800.57
22.07.19 09:04:00,800.56
22.07.19 09:03:58,800.55
22.07.19 09:03:58,800.55
22.07.19 09:03:58,800.54
22.07.19 09:03:58,800.61
22.07.19 09:03:58,800.60
22.07.19 09:03:58,800.62
22.07.19 09:03:58,800.60
22.07.19 09:03:56,800.60
22.07.19 09:03:56,800.59
22.07.19 09:03:54,800.59
22.07.19 09:03:54,800.59
22.07.19 09:03:54,800.64
22.07.19 09:03:53,800.64
22.07.19 09:03:51,800.65
22.07.19 09:03:51,800.68
22.07.19 09:03:51,800.69
22.07.19 09:03:51,800.73
22.07.19 09:03:51,800.78
22.07.19 09:03:50,800.86
22.07.19 09:03:49,800.86
22.07.19 09:03:48,800.89
22.07.19 09:03:46,800.89
22.07.19 09:03:45,800.90
22.07.19 09:03:45,800.91
22.07.19 09:03:45,800.91
22.07.19 09:03:45,800.92
22.07.19 09:03:43,800.92
22.07.19 09:03:43,800.91
22.07.19 09:03:42,800.94
22.07.19 09:03:42,800.97
22.07.19 09:03:42,801.02
22.07.19 09:03:40,801.02
22.07.19 09:03:39,801.02
22.07.19 09:03:39,801.00
22.07.19 09:03:39,801.00
22.07.19 09:03:37,801.00
22.07.19 09:03:36,800.98
22.07.19 09:03:35,800.97
22.07.19 09:03:35,800.97
22.07.19 09:03:34,800.99
22.07.19 09:03:34,800.98
22.07.19 09:03:34,801.02
22.07.19 09:03:34,801.02
22.07.19 09:03:34,801.04
22.07.19 09:03:33,801.05
22.07.19 09:03:33,801.05
22.07.19 09:03:32,801.05
22.07.19 09:03:30,800.96
22.07.19 09:03:30,800.96
22.07.19 09:03:30,800.99
22.07.19 09:03:29,801.07
22.07.19 09:03:29,801.08
22.07.19 09:03:29,801.03
22.07.19 09:03:29,801.02
22.07.19 09:03:29,801.02
22.07.19 09:03:29,801.06
22.07.19 09:03:28,801.10
22.07.19 09:03:28,801.06
22.07.19 09:03:28,801.08
22.07.19 09:03:28,801.10
22.07.19 09:03:28,801.08
22.07.19 09:03:28,801.06
22.07.19 09:03:26,801.09
22.07.19 09:03:26,801.11
22.07.19 09:03:26,801.12
22.07.19 09:03:26,801.15
22.07.19 09:03:26,801.14
22.07.19 09:03:26,801.15
22.07.19 09:03:26,801.18
22.07.19 09:03:26,801.20
22.07.19 09:03:26,801.18
22.07.19 09:03:25,801.20
22.07.19 09:03:24,801.22
22.07.19 09:03:24,801.22
22.07.19 09:03:24,801.22
22.07.19 09:03:23,801.20
22.07.19 09:03:22,801.20
22.07.19 09:03:21,801.11
22.07.19 09:03:20,801.13
22.07.19 09:03:19,801.13
22.07.19 09:03:19,801.11
22.07.19 09:03:18,801.15
22.07.19 09:03:18,801.18
22.07.19 09:03:18,801.15
22.07.19 09:03:18,801.15
22.07.19 09:03:18,801.15
22.07.19 09:03:18,801.14
22.07.19 09:03:17,801.11
22.07.19 09:03:16,801.12
22.07.19 09:03:16,801.14
22.07.19 09:03:16,801.18
22.07.19 09:03:16,801.26
22.07.19 09:03:16,801.30
22.07.19 09:03:16,801.34
22.07.19 09:03:16,801.33
22.07.19 09:03:16,801.34
22.07.19 09:03:16,801.35
22.07.19 09:03:16,801.35
22.07.19 09:03:15,801.34
22.07.19 09:03:14,801.35
22.07.19 09:03:14,801.36
22.07.19 09:03:14,801.37
22.07.19 09:03:13,801.40
22.07.19 09:03:13,801.41
22.07.19 09:03:13,801.38
22.07.19 09:03:12,801.37
22.07.19 09:03:10,801.38
22.07.19 09:03:10,801.37
22.07.19 09:03:10,801.35
22.07.19 09:03:10,801.32
22.07.19 09:03:08,801.29
22.07.19 09:03:08,801.30
22.07.19 09:03:08,801.29
22.07.19 09:03:08,801.28
22.07.19 09:03:06,801.29
22.07.19 09:03:05,801.29
22.07.19 09:03:05,801.30
22.07.19 09:03:04,801.29
22.07.19 09:03:03,801.29
22.07.19 09:03:03,801.25
22.07.19 09:03:02,801.25
22.07.19 09:03:02,801.29
22.07.19 09:03:02,801.34
22.07.19 09:03:01,801.35
22.07.19 09:03:01,801.39
22.07.19 09:03:01,801.41
22.07.19 09:03:01,801.40
22.07.19 09:03:00,801.43
22.07.19 09:02:59,801.43
22.07.19 09:02:59,801.42
22.07.19 09:02:58,801.43
22.07.19 09:02:58,801.44
22.07.19 09:02:58,801.48
22.07.19 09:02:57,801.50
22.07.19 09:02:56,801.50
22.07.19 09:02:55,801.52
22.07.19 09:02:55,801.51
22.07.19 09:02:55,801.51
22.07.19 09:02:55,801.51
22.07.19 09:02:55,801.52
